Identifier,Gender,Income,CreditScore,LoanAmount,EmploymentStatus,MaritalStatus,OccupancyStatus,NumDependents,SocialMediaUsageHours,ShoppingFrequencyPerMonth,HealthInsuranceStatus,Age,Age group,Income_bin,LoanAmount_bin,SocialMediaUsageHours_bin,ShoppingFrequencyPerMonth_bin
ID_0040,Male,35358.0,839.0,23047.0,Retired,Divorced,Owner,0.0,14.0,7.0,Yes,46.0,Established Adults,"(30000, 40000]","(20000, 30000]","(10, 15]","(5, 10]"
ID_0041,Female,96918.0,490.0,20470.0,Unemployed,Widowed,Owner,1.0,21.0,10.0,No,48.0,Established Adults,"(90000, 100000]","(20000, 30000]","(20, 25]","(5, 10]"
ID_0042,Female,34596.0,614.0,43129.0,Employed,Single,Owner,4.0,11.0,17.0,No,25.0,Young Adults,"(30000, 40000]","(40000, 50000]","(10, 15]","(15, 20]"
ID_0043,Female,53572.0,412.0,8531.0,Retired,Widowed,Owner,4.0,10.0,23.0,Yes,61.0,Pre-Retirement,"(50000, 60000]","(0, 10000]","(5, 10]","(20, 25]"
ID_0044,Male,98757.0,469.0,37038.0,Retired,Married,Owner,3.0,16.0,9.0,No,65.0,Pre-Retirement,"(90000, 100000]","(30000, 40000]","(15, 20]","(5, 10]"
ID_0045,Female,21279.0,767.0,22403.0,Unemployed,Widowed,Owner,3.0,17.0,11.0,No,51.0,Pre-Retirement,"(20000, 30000]","(20000, 30000]","(15, 20]","(10, 15]"
ID_0046,Female,83197.0,313.0,42674.0,Retired,Widowed,Renter,2.0,13.0,19.0,No,37.6,Established Adults,"(80000, 90000]","(40000, 50000]","(10, 15]","(15, 20]"
ID_0047,Female,82516.0,587.0,29122.0,Student,Divorced,Owner,0.0,16.0,22.0,Yes,57.0,Pre-Retirement,"(80000, 90000]","(20000, 30000]","(15, 20]","(20, 25]"
ID_0048,Female,27083.0,488.0,16940.0,Unemployed,Divorced,Renter,3.0,14.0,15.0,No,26.0,Early Career,"(20000, 30000]","(10000, 20000]","(10, 15]","(10, 15]"
ID_0049,Male,37771.0,454.0,29831.0,Unemployed,Married,Renter,1.0,11.0,4.0,No,22.0,Young Adults,"(30000, 40000]","(20000, 30000]","(10, 15]","(0, 5]"
ID_0052,Male,68285.0,576.0,6477.0,Employed,Widowed,Renter,4.0,5.0,11.0,No,50.0,Established Adults,"(60000, 70000]","(0, 10000]","(0, 5]","(10, 15]"
ID_0054,Male,87642.0,724.0,6470.0,Retired,Divorced,Renter,3.0,1.0,29.0,Yes,54.0,Pre-Retirement,"(80000, 90000]","(0, 10000]","(0, 5]","(25, 30]"
ID_0055,Female,57599.0,810.0,2062.0,Unemployed,Married,Renter,3.0,15.0,4.0,Yes,40.0,Established Adults,"(50000, 60000]","(0, 10000]","(10, 15]","(0, 5]"
ID_0056,Female,71920.0,481.0,41798.0,Unemployed,Married,Renter,2.0,1.0,0.0,No,44.0,Established Adults,"(70000, 80000]","(40000, 50000]","(0, 5]",
ID_0058,Male,55954.0,363.0,34581.0,Employed,Married,Owner,1.0,6.0,9.0,Yes,36.0,Established Adults,"(50000, 60000]","(30000, 40000]","(5, 10]","(5, 10]"
ID_0059,Male,47856.0,559.0,44439.0,Employed,Widowed,Owner,3.0,0.0,24.0,Yes,33.0,Early Career,"(40000, 50000]","(40000, 50000]",,"(20, 25]"
ID_0060,Male,22573.0,492.0,14308.0,Retired,Married,Owner,2.0,3.0,13.0,No,18.0,,"(20000, 30000]","(10000, 20000]","(0, 5]","(10, 15]"
ID_0061,Female,98344.0,705.0,26027.0,Retired,Single,Renter,3.0,10.0,24.0,No,29.0,Early Career,"(90000, 100000]","(20000, 30000]","(5, 10]","(20, 25]"
ID_0062,Female,55367.0,392.0,30720.0,Retired,Married,Owner,4.0,19.0,20.0,Yes,20.0,Young Adults,"(50000, 60000]","(30000, 40000]","(15, 20]","(15, 20]"
ID_0063,Female,80774.0,729.0,35081.0,Student,Married,Owner,3.0,10.066666666666666,12.466666666666667,No,49.0,Established Adults,"(80000, 90000]","(30000, 40000]","(10, 15]","(10, 15]"
ID_0064,Male,43752.0,652.3333333333334,9706.0,Retired,Divorced,Owner,0.0,17.0,5.0,Yes,39.0,Established Adults,"(40000, 50000]","(0, 10000]","(15, 20]","(0, 5]"
ID_0065,Male,75029.0,703.0,9837.0,Retired,Divorced,Owner,2.0,3.0,4.0,No,20.0,Young Adults,"(70000, 80000]","(0, 10000]","(0, 5]","(0, 5]"
ID_0066,Female,37685.0,733.0,38599.0,Student,Single,Owner,0.0,16.0,16.0,No,41.0,Established Adults,"(30000, 40000]","(30000, 40000]","(15, 20]","(15, 20]"
ID_0067,Female,71693.0,411.0,36824.0,Employed,Divorced,Owner,1.0,10.0,17.0,Yes,65.0,Pre-Retirement,"(70000, 80000]","(30000, 40000]","(5, 10]","(15, 20]"
ID_0068,Male,75961.0,674.0,33073.0,Unemployed,Single,Renter,1.0,10.0,11.0,Yes,43.0,Established Adults,"(70000, 80000]","(30000, 40000]","(5, 10]","(10, 15]"
ID_0069,Female,96908.0,358.0,47115.0,Retired,Widowed,Owner,3.0,19.0,4.0,Yes,51.0,Pre-Retirement,"(90000, 100000]","(40000, 50000]","(15, 20]","(0, 5]"
ID_0070,Male,94532.0,342.0,32088.0,Unemployed,Single,Renter,2.0,10.0,29.0,Yes,35.0,Early Career,"(90000, 100000]","(30000, 40000]","(5, 10]","(25, 30]"
ID_0071,Female,76133.0,506.0,28112.0,Unemployed,Married,Renter,2.0,14.0,8.0,No,46.666666666666664,Established Adults,"(70000, 80000]","(20000, 30000]","(10, 15]","(5, 10]"
ID_0072,Female,81268.0,595.0,26299.0,Retired,Single,Renter,2.0,16.2,15.066666666666666,Yes,37.0,Established Adults,"(80000, 90000]","(20000, 30000]","(15, 20]","(15, 20]"
ID_0073,Male,58243.0,417.0,34457.0,Retired,Widowed,Renter,2.0,16.0,19.0,No,32.0,Early Career,"(50000, 60000]","(30000, 40000]","(15, 20]","(15, 20]"
ID_0074,Male,77384.0,831.0,30063.0,Student,Married,Renter,3.0,1.0,8.0,Yes,68.0,Retirees,"(70000, 80000]","(30000, 40000]","(0, 5]","(5, 10]"
ID_0075,Female,51653.0,521.0,25994.933333333334,Employed,Single,Renter,0.0,17.0,12.133333333333333,No,63.0,Pre-Retirement,"(50000, 60000]","(20000, 30000]","(15, 20]","(10, 15]"
ID_0076,Female,46657.0,465.0,2936.0,Retired,Divorced,Renter,3.0,13.133333333333333,0.0,Yes,62.0,Pre-Retirement,"(40000, 50000]","(0, 10000]","(10, 15]",
ID_0077,Male,59952.0,455.0,36630.0,Unemployed,Divorced,Owner,0.0,11.0,21.0,Yes,40.0,Established Adults,"(50000, 60000]","(30000, 40000]","(10, 15]","(20, 25]"
ID_0078,Male,42180.0,483.0,14506.0,Retired,Divorced,Renter,4.0,9.0,14.0,No,25.0,Young Adults,"(40000, 50000]","(10000, 20000]","(5, 10]","(10, 15]"
ID_0079,Female,98411.0,389.0,28805.0,Retired,Single,Owner,4.0,15.0,9.0,No,23.0,Young Adults,"(90000, 100000]","(20000, 30000]","(10, 15]","(5, 10]"
ID_0080,Male,21622.0,393.0,14318.0,Employed,Single,Owner,0.0,2.0,13.0,Yes,25.0,Young Adults,"(20000, 30000]","(10000, 20000]","(0, 5]","(10, 15]"
ID_0081,Female,68756.0,312.0,48068.0,Student,Widowed,Renter,3.0,7.0,6.0,Yes,60.0,Pre-Retirement,"(60000, 70000]","(40000, 50000]","(5, 10]","(5, 10]"
ID_0082,Female,60809.0,737.0,26026.0,Retired,Married,Renter,1.0,21.0,3.0,Yes,32.0,Early Career,"(60000, 70000]","(20000, 30000]","(20, 25]","(0, 5]"
ID_0083,Male,36725.0,837.0,27672.0,Student,Married,Owner,3.0,21.0,25.0,Yes,36.0,Established Adults,"(30000, 40000]","(20000, 30000]","(20, 25]","(20, 25]"
ID_0084,Male,81396.0,533.6,25939.4,Employed,Married,Owner,1.0,23.0,4.0,Yes,19.0,Young Adults,"(80000, 90000]","(20000, 30000]","(20, 25]","(0, 5]"
ID_0085,Male,71226.0,307.0,27281.0,Employed,Married,Renter,3.0,12.333333333333334,19.0,No,56.0,Pre-Retirement,"(70000, 80000]","(20000, 30000]","(10, 15]","(15, 20]"
ID_0086,Male,49402.0,328.0,48442.0,Student,Single,Renter,2.0,21.0,15.0,No,52.0,Pre-Retirement,"(40000, 50000]","(40000, 50000]","(20, 25]","(10, 15]"
ID_0087,Male,24263.0,595.0,28091.0,Retired,Single,Owner,2.0,0.0,2.0,Yes,34.0,Early Career,"(20000, 30000]","(20000, 30000]",,"(0, 5]"
ID_0088,Female,66828.0,639.0,38328.0,Employed,Widowed,Owner,4.0,10.133333333333333,16.0,No,27.0,Early Career,"(60000, 70000]","(30000, 40000]","(10, 15]","(15, 20]"
ID_0089,Female,67924.0,738.0,48219.0,Student,Married,Renter,4.0,3.0,12.0,No,35.0,Early Career,"(60000, 70000]","(40000, 50000]","(0, 5]","(10, 15]"
ID_0090,Male,94182.0,443.0,29201.266666666666,Employed,Married,Owner,0.0,3.0,5.0,Yes,41.0,Established Adults,"(90000, 100000]","(20000, 30000]","(0, 5]","(0, 5]"
ID_0091,Male,79052.0,818.0,1079.0,Retired,Single,Owner,1.0,8.0,25.0,No,53.0,Pre-Retirement,"(70000, 80000]","(0, 10000]","(5, 10]","(20, 25]"
ID_0092,Male,31664.0,344.0,27920.6,Unemployed,Single,Renter,2.0,2.0,4.0,Yes,59.0,Pre-Retirement,"(30000, 40000]","(20000, 30000]","(0, 5]","(0, 5]"
ID_0093,Female,55737.0,538.0,46751.0,Employed,Single,Owner,3.0,4.0,15.0,No,24.0,Young Adults,"(50000, 60000]","(40000, 50000]","(0, 5]","(10, 15]"
ID_0094,Male,60773.46666666667,454.0,20590.0,Retired,Married,Renter,0.0,0.0,10.0,No,50.0,Established Adults,"(60000, 70000]","(20000, 30000]",,"(5, 10]"
ID_0095,Female,56397.0,480.0,30951.0,Retired,Married,Renter,3.0,21.0,16.0,No,56.0,Pre-Retirement,"(50000, 60000]","(30000, 40000]","(20, 25]","(15, 20]"
ID_0096,Female,58709.0,514.0,15327.0,Employed,Single,Renter,2.0,18.0,4.0,No,48.0,Established Adults,"(50000, 60000]","(10000, 20000]","(15, 20]","(0, 5]"
ID_0097,Female,81120.0,387.0,12755.0,Retired,Divorced,Owner,2.0,0.0,5.0,No,44.0,Established Adults,"(80000, 90000]","(10000, 20000]",,"(0, 5]"
ID_0098,Male,39250.0,555.0,7235.0,Student,Widowed,Renter,2.0,9.0,9.0,Yes,32.0,Early Career,"(30000, 40000]","(0, 10000]","(5, 10]","(5, 10]"
ID_0100,Female,31555.0,372.0,21473.0,Student,Married,Renter,3.0,11.8,0.0,Yes,40.0,Established Adults,"(30000, 40000]","(20000, 30000]","(10, 15]",
ID_0101,Female,98617.0,478.0,2031.0,Employed,Divorced,Renter,0.0,9.0,29.0,No,55.0,Pre-Retirement,"(90000, 100000]","(0, 10000]","(5, 10]","(25, 30]"
ID_0102,Female,73276.0,511.0,41282.0,Student,Married,Owner,2.0,1.0,20.0,No,65.0,Pre-Retirement,"(70000, 80000]","(40000, 50000]","(0, 5]","(15, 20]"
ID_0103,Male,77492.0,533.0,41863.0,Employed,Divorced,Owner,4.0,15.0,9.0,No,19.0,Young Adults,"(70000, 80000]","(40000, 50000]","(10, 15]","(5, 10]"
ID_0104,Male,73002.0,764.0,14287.0,Employed,Divorced,Owner,0.0,7.0,16.0,Yes,37.0,Established Adults,"(70000, 80000]","(10000, 20000]","(5, 10]","(15, 20]"
ID_0105,Female,92355.0,522.0,38679.0,Retired,Single,Renter,4.0,13.266666666666667,26.0,No,52.0,Pre-Retirement,"(90000, 100000]","(30000, 40000]","(10, 15]","(25, 30]"
ID_0106,Female,44762.0,563.0,44463.0,Retired,Married,Owner,3.0,14.0,2.0,No,18.0,,"(40000, 50000]","(40000, 50000]","(10, 15]","(0, 5]"
ID_0107,Male,31046.0,506.0,32230.0,Employed,Widowed,Renter,2.0,15.0,27.0,Yes,67.0,Retirees,"(30000, 40000]","(30000, 40000]","(10, 15]","(25, 30]"
ID_0108,Male,48769.0,665.0,19037.0,Unemployed,Married,Owner,0.0,10.0,28.0,Yes,61.0,Pre-Retirement,"(40000, 50000]","(10000, 20000]","(5, 10]","(25, 30]"
ID_0109,Female,61793.4,575.0,27052.0,Retired,Widowed,Renter,2.0,11.0,1.0,No,65.0,Pre-Retirement,"(60000, 70000]","(20000, 30000]","(10, 15]","(0, 5]"
ID_0110,Female,43150.0,679.0,3340.0,Unemployed,Single,Renter,2.0,1.0,28.0,No,42.0,Established Adults,"(40000, 50000]","(0, 10000]","(0, 5]","(25, 30]"
ID_0111,Female,88247.0,608.0,40644.0,Student,Married,Renter,0.0,3.0,14.666666666666666,No,52.0,Pre-Retirement,"(80000, 90000]","(40000, 50000]","(0, 5]","(10, 15]"
ID_0112,Female,24853.0,567.0,48664.0,Employed,Married,Renter,2.0,2.0,3.0,No,67.0,Retirees,"(20000, 30000]","(40000, 50000]","(0, 5]","(0, 5]"
ID_0113,Female,41792.0,363.0,45203.0,Retired,Single,Owner,2.0,8.0,1.0,No,58.0,Pre-Retirement,"(40000, 50000]","(40000, 50000]","(5, 10]","(0, 5]"
ID_0115,Female,94478.0,793.0,25425.0,Student,Widowed,Renter,1.0,18.0,9.0,Yes,35.0,Early Career,"(90000, 100000]","(20000, 30000]","(15, 20]","(5, 10]"
ID_0116,Female,87298.0,822.0,19281.0,Retired,Married,Renter,0.0,6.0,0.0,No,22.0,Young Adults,"(80000, 90000]","(10000, 20000]","(5, 10]",
ID_0117,Female,61184.666666666664,397.0,42049.0,Employed,Married,Owner,0.0,3.0,27.0,Yes,21.0,Young Adults,"(60000, 70000]","(40000, 50000]","(0, 5]","(25, 30]"
ID_0118,Male,35850.0,370.0,20425.0,Student,Single,Owner,2.0,5.0,25.0,Yes,62.0,Pre-Retirement,"(30000, 40000]","(20000, 30000]","(0, 5]","(20, 25]"
ID_0119,Male,32112.0,663.0,34806.0,Employed,Divorced,Owner,4.0,18.0,0.0,Yes,45.0,Established Adults,"(30000, 40000]","(30000, 40000]","(15, 20]",
ID_0120,Male,44058.0,575.0,32113.0,Employed,Divorced,Owner,0.0,0.0,26.0,No,42.333333333333336,Established Adults,"(40000, 50000]","(30000, 40000]",,"(25, 30]"
ID_0121,Female,65420.0,349.0,4270.0,Employed,Single,Owner,2.0,11.466666666666667,25.0,Yes,48.0,Established Adults,"(60000, 70000]","(0, 10000]","(10, 15]","(20, 25]"
ID_0122,Male,58890.0,657.0,42814.0,Retired,Single,Owner,4.0,10.0,3.0,No,44.0,Established Adults,"(50000, 60000]","(40000, 50000]","(5, 10]","(0, 5]"
ID_0123,Female,86017.0,784.0,4683.0,Employed,Divorced,Renter,1.0,21.0,6.0,No,62.0,Pre-Retirement,"(80000, 90000]","(0, 10000]","(20, 25]","(5, 10]"
ID_0124,Female,67304.0,383.0,26861.866666666665,Student,Single,Owner,0.0,3.0,13.0,No,48.0,Established Adults,"(60000, 70000]","(20000, 30000]","(0, 5]","(10, 15]"
ID_0125,Male,52921.0,595.0,39884.0,Retired,Single,Owner,2.0,17.0,11.4,Yes,25.0,Young Adults,"(50000, 60000]","(30000, 40000]","(15, 20]","(10, 15]"
ID_0126,Female,21524.0,535.0,29809.0,Retired,Widowed,Renter,1.5333333333333334,22.0,17.0,Yes,56.0,Pre-Retirement,"(20000, 30000]","(20000, 30000]","(20, 25]","(15, 20]"
ID_0127,Male,35048.0,355.0,34552.0,Student,Married,Owner,3.0,4.0,1.0,Yes,28.0,Early Career,"(30000, 40000]","(30000, 40000]","(0, 5]","(0, 5]"
ID_0128,Male,55111.0,659.0,3786.0,Retired,Divorced,Owner,1.0,21.0,0.0,Yes,62.0,Pre-Retirement,"(50000, 60000]","(0, 10000]","(20, 25]",
ID_0129,Male,57904.0,409.0,21650.0,Student,Single,Owner,2.0,5.0,20.0,No,46.0,Established Adults,"(50000, 60000]","(20000, 30000]","(0, 5]","(15, 20]"
ID_0130,Female,74912.0,491.0,28706.0,Unemployed,Divorced,Renter,4.0,1.0,21.0,No,67.0,Retirees,"(70000, 80000]","(20000, 30000]","(0, 5]","(20, 25]"
ID_0131,Male,54008.0,392.0,9190.0,Student,Married,Owner,3.0,11.0,15.0,No,46.0,Established Adults,"(50000, 60000]","(0, 10000]","(10, 15]","(10, 15]"
ID_0132,Female,20060.0,359.0,38196.0,Retired,Divorced,Renter,3.0,21.0,28.0,Yes,61.0,Pre-Retirement,"(20000, 30000]","(30000, 40000]","(20, 25]","(25, 30]"
ID_0133,Male,94666.0,338.0,39449.0,Student,Divorced,Owner,3.0,8.0,21.0,Yes,40.93333333333333,Established Adults,"(90000, 100000]","(30000, 40000]","(5, 10]","(20, 25]"
ID_0134,Male,75337.0,839.0,39661.0,Unemployed,Divorced,Renter,0.0,19.0,17.0,Yes,21.0,Young Adults,"(70000, 80000]","(30000, 40000]","(15, 20]","(15, 20]"
ID_0135,Female,33350.0,348.0,29709.0,Employed,Widowed,Owner,2.0,11.0,12.866666666666667,No,36.0,Established Adults,"(30000, 40000]","(20000, 30000]","(10, 15]","(10, 15]"
ID_0136,Female,44354.0,719.0,45429.0,Employed,Married,Owner,3.0,12.0,27.0,No,44.0,Established Adults,"(40000, 50000]","(40000, 50000]","(10, 15]","(25, 30]"
ID_0137,Female,65186.0,312.0,14892.0,Employed,Married,Owner,1.0,21.0,27.0,Yes,38.0,Established Adults,"(60000, 70000]","(10000, 20000]","(20, 25]","(25, 30]"
ID_0138,Female,48145.0,335.0,9643.0,Retired,Divorced,Renter,4.0,11.466666666666667,22.0,No,33.0,Early Career,"(40000, 50000]","(0, 10000]","(10, 15]","(20, 25]"
ID_0139,Male,54020.0,400.0,9943.0,Unemployed,Divorced,Owner,2.0,12.466666666666667,21.0,No,28.0,Early Career,"(50000, 60000]","(0, 10000]","(10, 15]","(20, 25]"
ID_0140,Male,95186.0,385.0,43240.0,Student,Married,Owner,1.0,4.0,23.0,Yes,55.0,Pre-Retirement,"(90000, 100000]","(40000, 50000]","(0, 5]","(20, 25]"
ID_0141,Female,40581.0,815.0,45760.0,Student,Single,Renter,0.0,19.0,5.0,Yes,19.0,Young Adults,"(40000, 50000]","(40000, 50000]","(15, 20]","(0, 5]"
ID_0142,Female,43051.0,522.0,21042.0,Student,Widowed,Owner,3.0,12.0,24.0,No,23.0,Young Adults,"(40000, 50000]","(20000, 30000]","(10, 15]","(20, 25]"
ID_0143,Female,71474.0,553.5333333333333,43894.0,Student,Married,Renter,2.2666666666666666,12.0,9.0,Yes,40.0,Established Adults,"(70000, 80000]","(40000, 50000]","(10, 15]","(5, 10]"
ID_0144,Female,89626.0,465.0,6869.0,Retired,Divorced,Owner,2.0,9.0,1.0,No,67.0,Retirees,"(80000, 90000]","(0, 10000]","(5, 10]","(0, 5]"
ID_0145,Female,26960.0,682.0,40437.0,Retired,Single,Renter,2.466666666666667,14.0,6.0,Yes,27.0,Early Career,"(20000, 30000]","(40000, 50000]","(10, 15]","(5, 10]"
ID_0146,Female,55772.0,675.0,44306.0,Unemployed,Single,Owner,0.0,14.0,20.0,No,68.0,Retirees,"(50000, 60000]","(40000, 50000]","(10, 15]","(15, 20]"
ID_0147,Male,41520.0,770.0,42833.0,Student,Single,Renter,4.0,17.0,16.0,Yes,55.0,Pre-Retirement,"(40000, 50000]","(40000, 50000]","(15, 20]","(15, 20]"
ID_0148,Female,69481.0,330.0,20918.0,Employed,Widowed,Renter,3.0,17.0,2.0,Yes,36.0,Established Adults,"(60000, 70000]","(20000, 30000]","(15, 20]","(0, 5]"
ID_0149,Male,56408.0,674.0,28379.0,Retired,Widowed,Owner,2.0,1.0,19.0,Yes,66.0,Retirees,"(50000, 60000]","(20000, 30000]","(0, 5]","(15, 20]"
ID_0150,Female,77134.0,310.0,42939.0,Unemployed,Married,Owner,3.0,22.0,11.0,No,50.0,Established Adults,"(70000, 80000]","(40000, 50000]","(20, 25]","(10, 15]"
ID_0151,Female,40491.0,601.0,25274.0,Unemployed,Married,Owner,3.0,10.0,1.0,No,22.0,Young Adults,"(40000, 50000]","(20000, 30000]","(5, 10]","(0, 5]"
ID_0152,Female,21341.0,395.0,17696.0,Retired,Married,Owner,3.0,12.0,6.0,No,64.0,Pre-Retirement,"(20000, 30000]","(10000, 20000]","(10, 15]","(5, 10]"
ID_0153,Male,64623.0,489.0,2962.0,Employed,Married,Renter,1.0,10.0,16.0,No,31.0,Early Career,"(60000, 70000]","(0, 10000]","(5, 10]","(15, 20]"
